id,first_name,last_name,age_group,gender,urban_rural,marital_status,education,religion,party,canton
1346,Isabelle,Moret,40-49,f,rural,single,tertiary,catholic,FDP-Liberale,VD
4106,Martin,Naef,40-49,m,big_city,unknown,tertiary,protestant,SP,ZH
4168,Jacques,Nicolet,50-59,m,rural,unknown,secondary,protestant,SVP,VD
3898,Yves,Nidegger,60-69,m,big_city,unknown,tertiary,unknown,SVP,GE
1153,Ruedi,Noser,50-59,m,big_city,married,tertiary,protestant,FDP-Liberale,ZH
4222,Nicolo,Paganini,50-59,m,rural,married,tertiary,unknown,CVP,SG
4073,Roberta,Pantani,50-59,f,urban,married,tertiary,unknown,Lega,TI
4141,Hans-Peter,Portmann,50-59,m,urban,partnership,tertiary,unknown,FDP-Liberale,ZH
172,Paul,Rechsteiner,60-69,m,big_city,married,tertiary,unknown,SP,SG
173,Maximilian,Reimann,above 70,m,periurban,divorced,tertiary,catholic,SVP,AG
3902,Natalie,Rickli,40-49,f,big_city,unknown,secondary,catholic,SVP,ZH
4125,Gregor,Rutz,40-49,m,urban,married,tertiary,catholic,SVP,ZH
4202,Regine,Sauter,50-59,f,big_city,divorced,tertiary,protestant,FDP-Liberale,ZH
1148,Géraldine,Savary,50-59,f,big_city,married,tertiary,catholic,SP,VD
4123,Ursula,Schneider Schüttel,50-59,f,urban,married,tertiary,protestant,SP,FR
4199,Priska,Seiler Graf,50-59,f,urban,married,tertiary,protestant,SP,ZH
4146,Heinz,Siegenthaler,60-69,m,rural,unknown,secondary,protestant,BDP,BE
1120,Carlo,Sommaruga,60-69,m,big_city,unknown,tertiary,unknown,SP,GE
214,Luzi,Stamm,60-69,m,urban,married,tertiary,unknown,SVP,AG
4174,Barbara,Steinemann,40-49,f,urban,unknown,tertiary,unknown,SVP,ZH
4113,Manuel,Tornare,60-69,m,urban,single,tertiary,catholic,SP,GE
4128,Aline,Trede,30-39,f,big_city,married,tertiary,unknown,GPS,BE
4175,Mauro,Tuena,40-49,m,big_city,unknown,unknown,unknown,SVP,ZH
4176,Hans-Ueli,Vogt,40-49,m,big_city,single,tertiary,unknown,SVP,ZH
3910,Erich,von Siebenthal,60-69,m,periurban,married,secondary,protestant,SVP,BE
4177,Bruno,Walliser,50-59,m,urban,unknown,tertiary,catholic,SVP,ZH
525,Roberto,Zanetti,60-69,m,urban,single,unknown,undenominational,SP,SO
4179,David,Zuberbühler,40-49,m,urban,married,secondary,other_religion,SVP,AR
999999999,Benedikt,Würth,50-59,m,urban,married,tertiary,catholic,CVP,SG
